# Sample Transaction File with Validation Errors for TRNVAL00 Testing
# This file contains intentional errors to test validation logic
20241120093000PORT0001000001INVEST0001BU         100.0000          50.5000         5050.00USDP
20241120093001PORT001 000002INVEST0002SL          50.0000          75.2500         3762.50USDP
20241120093002PORT0002000003INVEST0003XX         200.0000          25.0000         5000.00USDP
20241120093003PORT0003000004INVEST0001BU           0.0000          50.0000            0.00USDP
20241120093004PORT0004000005INVEST0004FE           0.0000           0.0000            0.00USDP
20251120093005PORT0005000006INVEST0005BU         300.0000          10.5000         3150.00EURP
20241120093006PORT0006000007INVEST06  SL         100.0000          99.9999         9999.99GBPP
20241120093007PORT0007000008INVEST0007BU          75.0000           0.0000         3000.00USDP
20241120093008PORT0008000009INVEST0008SL          25.0000         100.0000         2500.00US P
20241120093009PORT0009000010INVEST0009BU         500.0000           5.0000         2500.00CADP
20241120093009PORT0009000010INVEST0009BU         500.0000           5.0000         2500.00CADP
