# Sample Transaction File for TRNVAL00 Testing
# Format: DATE(8) TIME(6) PORTFOLIO(8) SEQ(6) INVESTMENT(10) TYPE(2) QUANTITY(15) PRICE(15) AMOUNT(15) CURR(3) STATUS(1)
20241120093000PORT0001000001INVEST0001BU         100.0000          50.5000         5050.00USDP
20241120093001PORT0001000002INVEST0002SL          50.0000          75.2500         3762.50USDP
20241120093002PORT0002000001INVEST0003BU         200.0000          25.0000         5000.00USDP
20241120093003PORT0003000001INVEST0001TR         150.0000           0.0000            0.00USDP
20241120093004PORT0004000001INVEST0004FE           0.0000           0.0000           50.00USDP
20241119140000PORT0005000001INVEST0005BU         300.0000          10.5000         3150.00EURP
20241118120000PORT0006000001INVEST0006SL         100.0000          99.9999         9999.99GBPP
20241117100000PORT0007000001INVEST0007BU          75.0000          40.0000         3000.00USDP
20241120093005PORT0008000001INVEST0008SL          25.0000         100.0000         2500.00USDP
20241120093006PORT0009000001INVEST0009BU         500.0000           5.0000         2500.00CADP
